nominal_head_id,nominal_head_form,nominal_head_upos,nominal_head_deprel,head_number,head_frequency,dependent_frequency,modifier_to_head_ratio,dependent_id,dependent_form,dependent_upos,dependent_deprel,distance,position,num_nouns_before,num_adjs_before,num_adjs_after,np_depth,num_dependents_head,num_dependents_dependent,ezafe_label,relative_position_in_sent,np_deprel_pattern,source_file
15.0,hudēnān,NOUN,iobj,Plur,13,110,8.461531952667729,14.0,abārīg,DET,det,1.0,2,6,1,0,1,1,0,0,0.7894736842105263,det,DD-K35.conllu
18.0,passox,NOUN,obj,Sing,62,58,0.9354837200832709,17.0,=iš,PRON,nmod,1.0,2,7,1,0,1,2,0,0,0.9473684210526315,case nmod,DD-K35.conllu
6.0,dādār,NOUN,nmod,Sing,98,0,0.0,7.0,ohrmazd,PROPN,appos,1.0,1,3,0,1,5,5,0,0,0.2,appos nmod conj conj conj,DD-K35.conllu
6.0,dādār,NOUN,nmod,Sing,98,13,0.1326530476884645,8.0,wispān,PRON,nmod,2.0,1,3,0,1,5,5,0,0,0.2,appos nmod conj conj conj,DD-K35.conllu
12.0,yazadān,NOUN,conj,Plur,134,70,0.5223880207173118,11.0,hamāg,DET,det,1.0,2,6,0,1,3,3,0,0,0.4,det nmod conj,DD-K35.conllu
12.0,yazadān,NOUN,conj,Plur,134,0,0.0,14.0,mēnōyān,NOUN,nmod,2.0,1,6,0,1,3,3,1,1,0.4,det nmod conj,DD-K35.conllu
16.0,yazadān,NOUN,conj,Plur,134,0,0.0,18.0,gētīyān,NOUN,nmod,2.0,1,8,0,1,2,2,1,1,0.5333333333333333,cc nmod,DD-K35.conllu
21.0,dām,NOUN,conj,Sing,127,70,0.5511810589621213,20.0,hamāg,DET,det,1.0,2,10,0,1,4,3,0,0,0.7,cc det conj,DD-K35.conllu
27.0,dahišn,NOUN,obl,Sing,55,9,0.16363633388430293,28.0,xwēš,PRON,nmod,1.0,1,13,0,1,1,2,0,0,0.9,case nmod,DD-K35.conllu
1.0,hudēnān,NOUN,iobj,Plur,13,0,0.0,4.0,pursīdārān,NOUN,nmod,3.0,1,0,0,2,5,2,3,1,0.027777777777777776,nmod acl:relcl,DD-K35.conllu
4.0,pursīdārān,NOUN,nmod,Plur,2,15,7.4999625001874985,3.0,ēd,PRON,nmod,1.0,2,1,0,2,4,3,0,0,0.1111111111111111,det nmod nmod,DD-K35.conllu
4.0,pursīdārān,NOUN,nmod,Plur,2,0,0.0,7.0,nērōg,NOUN,nmod,3.0,1,1,0,2,4,3,6,0,0.1111111111111111,det nmod nmod,DD-K35.conllu
7.0,nērōg,NOUN,nmod,Sing,16,2,0.12499992187504883,6.0,stāyišnīg,ADJ,amod,1.0,2,2,1,1,3,6,0,0,0.19444444444444445,case amod nmod conj conj conj,DD-K35.conllu
7.0,nērōg,NOUN,nmod,Sing,16,0,0.0,9.0,čihr,NOUN,nmod,2.0,1,2,1,1,3,6,1,1,0.19444444444444445,case amod nmod conj conj conj,DD-K35.conllu
11.0,zōr,NOUN,conj,Sing,10,0,0.0,13.0,ǰawāhir,NOUN,nmod,2.0,1,4,1,1,2,2,1,1,0.3055555555555556,cc nmod,DD-K35.conllu
15.0,daxšag,NOUN,conj,Sing,13,0,0.0,17.0,xrad,NOUN,nmod,2.0,1,6,1,1,2,2,1,1,0.4166666666666667,cc nmod,DD-K35.conllu
19.0,nišān,NOUN,conj,Sing,11,0,0.0,21.0,hunar,NOUN,nmod,2.0,1,8,1,1,2,2,1,1,0.5277777777777778,cc nmod,DD-K35.conllu
25.0,xradxwāyišnīh,NOUN,nsubj,Sing,1,229,228.99771002289975,24.0,=z,ADV,advmod,1.0,2,10,1,1,1,1,0,0,0.6944444444444444,advmod,DD-K35.conllu
31.0,pursišn,NOUN,obl,Sing,47,0,0.0,28.0,kirbaguskārišnīhā,NOUN,nmod,3.0,2,13,1,1,3,1,2,0,0.8611111111111112,nmod,DD-K35.conllu
34.0,mānuščihr,PROPN,obl,Sing,9,0,0.0,36.0,ǰuwānǰamān,PROPN,nmod,2.0,1,14,2,0,2,2,1,1,0.9444444444444444,case nmod,DD-K35.conllu
16.0,nāmag,NOUN,obl,Sing,20,15,0.7499996250001875,10.0,ēd,DET,det,6.0,2,1,1,2,1,3,0,0,0.47058823529411764,case det amod,DD-K35.conllu
16.0,nāmag,NOUN,obl,Sing,20,3,0.1499999250000375,11.0,pursišnīg,ADJ,amod,5.0,2,1,1,2,1,3,0,0,0.47058823529411764,case det amod,DD-K35.conllu
30.0,ašmāh,PRON,obl,Plur,166,229,1.3795179891856633,29.0,=z,ADV,advmod,1.0,2,2,1,2,2,4,0,0,0.8823529411764706,case advmod det conj,DD-K35.conllu
30.0,ašmāh,PRON,obl,Plur,166,9,0.05421686420380336,31.0,hamist,DET,det,1.0,1,2,1,2,2,4,0,0,0.8823529411764706,case advmod det conj,DD-K35.conllu
14.0,ayāsišn,NOUN,obl,Sing,1,0,0.0,17.0,hamwēnišnīh,NOUN,nmod,3.0,1,1,1,0,3,2,6,1,0.5384615384615384,case nmod,DD-K35.conllu
17.0,hamwēnišnīh,NOUN,nmod,Sing,3,1,0.3333322222259259,21.0,man,PRON,nmod,4.0,1,2,1,0,2,6,1,1,0.6538461538461539,det case conj nmod conj conj,DD-K35.conllu
25.0,dēndōstīh,NOUN,conj,Sing,1,13,12.999870001299985,26.0,xwad,PRON,nmod,1.0,1,5,1,0,1,2,0,0,0.9615384615384616,cc nmod,DD-K35.conllu
1.0,amāh,PRON,dislocated:topic,Plur,49,9,0.18367343190338123,4.0,hamist,DET,det,3.0,1,0,0,8,7,2,1,1,0.017543859649122806,det acl:relcl,DD-K35.conllu
7.0,bandag,NOUN,acl:relcl,Sing,7,0,0.0,6.0,yazadān,NOUN,nmod,1.0,2,1,0,8,6,7,0,0,0.12280701754385964,mark nmod conj conj conj conj conj,DD-K35.conllu
10.0,kōxšišn,NOUN,obl,Sing,25,0,0.0,12.0,druz,NOUN,nmod,2.0,1,2,0,8,2,2,1,1,0.17543859649122806,case nmod,DD-K35.conllu
15.0,āstawānīh,NOUN,obl,Sing,3,10,3.333322222259259,18.0,wehdēn,NOUN,nmod,3.0,1,5,0,8,3,2,3,1,0.2631578947368421,case nmod,DD-K35.conllu
18.0,wehdēn,NOUN,nmod,Sing,18,11,0.611110771605127,20.0,mazdēsn,ADJ,amod,2.0,1,6,0,8,2,3,1,1,0.3157894736842105,det case amod,DD-K35.conllu
27.0,rāh,NOUN,obl,Sing,52,163,3.1346147818048493,23.0,ēk,NUM,nummod,4.0,2,8,2,6,2,4,0,0,0.47368421052631576,case nummod det nmod,DD-K35.conllu
27.0,rāh,NOUN,obl,Sing,52,868,16.69230448224914,24.0,ān,DET,det,3.0,2,8,2,6,2,4,0,0,0.47368421052631576,case nummod det nmod,DD-K35.conllu
27.0,rāh,NOUN,obl,Sing,52,0,0.0,26.0,ahlāyīh,NOUN,nmod,1.0,2,8,2,6,2,4,1,1,0.47368421052631576,case nummod det nmod,DD-K35.conllu
30.0,gāh,NOUN,obl,Sing,42,0,0.0,36.0,axwān,NOUN,nmod,6.0,1,9,3,5,3,2,4,1,0.5263157894736842,case nmod,DD-K35.conllu
36.0,axwān,NOUN,nmod,Sing,11,868,78.90901917361893,33.0,ān,DET,det,3.0,2,10,4,4,2,4,0,0,0.631578947368421,det case det amod,DD-K35.conllu
36.0,axwān,NOUN,nmod,Sing,11,11,0.9999990909099173,35.0,pāšom,ADJ,amod,1.0,2,10,4,4,2,4,1,1,0.631578947368421,det case det amod,DD-K35.conllu
39.0,hāzišn,NOUN,obl,Sing,3,0,0.0,46.0,frašegird,NOUN,nmod,7.0,1,11,5,3,4,2,3,1,0.6842105263157895,case nmod,DD-K35.conllu
45.0,axwān,NOUN,nmod,Sing,11,868,78.90901917361893,42.0,ān,DET,det,3.0,2,12,6,2,2,2,0,0,0.7894736842105263,det amod,DD-K35.conllu
45.0,axwān,NOUN,nmod,Sing,11,11,0.9999990909099173,44.0,pāšom,ADJ,amod,1.0,2,12,6,2,2,2,1,1,0.7894736842105263,det amod,DD-K35.conllu
46.0,frašegird,NOUN,nmod,Sing,17,0,0.0,45.0,axwān,NOUN,nmod,1.0,2,13,6,2,3,3,2,0,0.8070175438596491,det case nmod,DD-K35.conllu
52.0,hamwēnišnīh,NOUN,nsubj,Sing,3,868,289.33236889210366,49.0,ān,DET,det,3.0,2,14,7,1,2,4,0,0,0.9122807017543859,det nmod dep conj,DD-K35.conllu
52.0,hamwēnišnīh,NOUN,nsubj,Sing,3,0,0.0,50.0,=imān,PRON,nmod,2.0,2,14,7,1,2,4,0,0,0.9122807017543859,det nmod dep conj,DD-K35.conllu
22.0,kirbag,NOUN,ccomp,Sing,61,108,1.770491513034178,20.0,ēg,ADV,advmod,2.0,2,3,3,1,4,5,0,0,0.88,mark dislocated:topic advmod obl amod,DD-K35.conllu
22.0,kirbag,NOUN,ccomp,Sing,61,1,0.016393439935501648,25.0,waxšišnīgtar,ADJ,amod,3.0,1,3,3,1,4,5,2,1,0.88,mark dislocated:topic advmod obl amod,DD-K35.conllu
9.0,sāmān,NOUN,nmod,Sing,11,1,0.09090900826453795,11.0,pāyag,NOUN,nmod,2.0,1,1,0,2,2,2,1,0,0.3103448275862069,case nmod,DD-K35.conllu
11.0,pāyag,NOUN,nmod,Sing,11,60,5.454540495872276,10.0,meh,ADJ,amod,1.0,2,2,1,1,1,1,0,0,0.3793103448275862,amod,DD-K35.conllu
18.0,nigerišn,NOUN,nmod,Sing,3,0,0.0,17.0,purrdōstīh,NOUN,nmod,1.0,2,5,2,0,2,2,0,0,0.6206896551724138,nmod nmod,DD-K35.conllu
18.0,nigerišn,NOUN,nmod,Sing,3,0,0.0,21.0,hučašmīh,NOUN,nmod,3.0,1,5,2,0,2,2,2,1,0.6206896551724138,nmod nmod,DD-K35.conllu
26.0,rāh,NOUN,conj,Sing,52,0,0.0,29.0,spāsdārīh,NOUN,nmod,3.0,1,7,2,0,2,4,2,1,0.896551724137931,cc obl obl nmod,DD-K35.conllu
8.0,rāh,NOUN,nsubj,Sing,52,56,1.076922869822525,5.0,dānistan,NOUN,nmod,3.0,2,2,0,1,3,1,2,0,0.26666666666666666,nmod,DD-K35.conllu
14.0,kas,PRON,obl,Sing,62,34,0.548387008324676,13.0,any,DET,det,1.0,2,3,0,1,1,2,0,0,0.4666666666666667,case det,DD-K35.conllu
21.0,dōšāramīh,NOUN,obl,Sing,2,0,0.0,20.0,ašmāh,PRON,nmod,1.0,2,3,0,1,1,2,0,0,0.7,case nmod,DD-K35.conllu
24.0,hučašmīh,NOUN,obl,Sing,6,2,0.33333277777870374,23.0,ōrōn,ADV,advmod,1.0,2,4,0,1,3,4,0,0,0.8,cc advmod conj case,DD-K35.conllu
26.0,mādagwarīh,NOUN,conj,Sing,1,372,371.9962800371996,25.0,bē,ADP,cc,1.0,2,5,0,1,2,2,0,0,0.8666666666666667,cc nmod,DD-K35.conllu
26.0,mādagwarīh,NOUN,conj,Sing,1,0,0.0,28.0,rāstīh,NOUN,nmod,2.0,1,5,0,1,2,2,1,1,0.8666666666666667,cc nmod,DD-K35.conllu
5.0,mēnōymardān,NOUN,obl,Plur,2,229,114.49942750286249,3.0,=z,ADV,advmod,2.0,2,0,0,0,3,4,0,0,0.4166666666666667,case advmod det nmod,DD-K35.conllu
5.0,mēnōymardān,NOUN,obl,Plur,2,110,54.99972500137499,4.0,abārīg,DET,det,1.0,2,0,0,0,3,4,0,0,0.4166666666666667,case advmod det nmod,DD-K35.conllu
5.0,mēnōymardān,NOUN,obl,Plur,2,0,0.0,7.0,hunar,NOUN,nmod,2.0,1,0,0,0,3,4,3,0,0.4166666666666667,case advmod det nmod,DD-K35.conllu
7.0,hunar,NOUN,nmod,Sing,9,36,3.999995555560494,9.0,=šān,PRON,nmod,2.0,1,1,0,0,2,3,0,0,0.5833333333333334,case nmod advmod,DD-K35.conllu
7.0,hunar,NOUN,nmod,Sing,9,1,0.11111098765445816,10.0,bowandagmenīdārīhātar,ADV,advmod,3.0,1,1,0,0,2,3,1,1,0.5833333333333334,case nmod advmod,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,obl,Sing,1,229,228.99771002289975,3.0,=iz,ADV,advmod,2.0,2,0,1,8,4,6,0,0,0.07462686567164178,case advmod amod nmod conj conj,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,obl,Sing,1,30,29.99970000299997,4.0,škeft,ADJ,amod,1.0,2,0,1,8,4,6,0,0,0.07462686567164178,case advmod amod nmod conj conj,DD-K35.conllu
5.0,kōxšīdārīh,NOUN,obl,Sing,1,0,0.0,7.0,druz,NOUN,nmod,2.0,1,0,1,8,4,6,1,1,0.07462686567164178,case advmod amod nmod conj conj,DD-K35.conllu
9.0,wišōbišn,NOUN,conj,Sing,1,26,25.99974000259997,8.0,garān,ADJ,amod,1.0,2,2,2,7,1,1,0,0,0.13432835820895522,amod,DD-K35.conllu
21.0,xwābarīh,NOUN,obl,Sing,3,0,0.0,20.0,yazadān,NOUN,nmod,1.0,2,6,2,7,1,2,0,0,0.31343283582089554,case nmod,DD-K35.conllu
33.0,dēnīgan,NOUN,conj,Plur,7,110,15.714263265338193,31.0,abārīg,PRON,det,2.0,2,11,2,7,1,3,0,0,0.4925373134328358,cc det advmod,DD-K35.conllu
33.0,dēnīgan,NOUN,conj,Plur,7,229,32.7142389796586,32.0,=iz,ADV,advmod,1.0,2,11,2,7,1,3,0,0,0.4925373134328358,cc det advmod,DD-K35.conllu
35.0,dēnīgbedān,NOUN,conj,Plur,1,0,0.0,37.0,kustag,NOUN,nmod,2.0,1,12,2,7,2,2,2,1,0.5223880597014925,cc nmod,DD-K35.conllu
41.0,hērbedān,NOUN,conj,Plur,28,34,1.2142852806123998,39.0,any,DET,det,2.0,2,15,2,7,4,3,0,0,0.6119402985074627,det advmod acl:relcl,DD-K35.conllu
41.0,hērbedān,NOUN,conj,Plur,28,229,8.178568507654104,40.0,=iz,ADV,advmod,1.0,2,15,2,7,4,3,0,0,0.6119402985074627,det advmod acl:relcl,DD-K35.conllu
42.0,mēnōymardān,NOUN,conj,Plur,2,1,0.49999750001249993,43.0,ōšmurdmānsr,ADJ,amod,1.0,1,16,2,7,3,1,5,0,0.6268656716417911,amod,DD-K35.conllu
55.0,gyāg,NOUN,obl,Sing,54,52,0.9629627846365213,54.0,čand,DET,det,1.0,2,17,8,1,1,2,0,0,0.8208955223880597,case det,DD-K35.conllu
61.0,dādestān,NOUN,obl,Sing,17,229,13.470580311423346,59.0,=iz,ADV,advmod,2.0,2,18,8,1,2,4,0,0,0.9104477611940298,case advmod det nmod,DD-K35.conllu
61.0,dādestān,NOUN,obl,Sing,17,104,6.117643460209729,60.0,ōwōn,DET,det,1.0,2,18,8,1,2,4,0,0,0.9104477611940298,case advmod det nmod,DD-K35.conllu
61.0,dādestān,NOUN,obl,Sing,17,20,1.1764698961941786,62.0,šnāxtan,NOUN,nmod,1.0,1,18,8,1,2,4,2,0,0.9104477611940298,case advmod det nmod,DD-K35.conllu
6.0,xwašmenišnīh,NOUN,obl,Sing,1,868,867.9913200867991,8.0,ān,PRON,nmod,2.0,1,0,1,0,3,1,2,0,0.3,nmod,DD-K35.conllu
8.0,ān,PRON,nmod,Sing,266,1,0.0037593983549098365,10.0,man,PRON,nmod,2.0,1,1,1,0,2,2,1,1,0.4,case nmod,DD-K35.conllu
6.0,paymān,NOUN,nsubj,Sing,19,120,6.315786149586237,5.0,ham,DET,det,1.0,2,1,0,0,3,2,0,0,0.5454545454545454,det nmod,DD-K35.conllu
6.0,paymān,NOUN,nsubj,Sing,19,0,0.0,7.0,dōstīh,NOUN,nmod,1.0,1,1,0,0,3,2,1,0,0.5454545454545454,det nmod,DD-K35.conllu
6.0,dōstīh,NOUN,obl,Sing,7,64,9.142844081651312,5.0,wēš,ADV,advmod,1.0,2,0,0,1,1,3,0,0,0.14285714285714285,case advmod conj,DD-K35.conllu
14.0,dastwarīh,NOUN,obl,Sing,8,1,0.12499984375019532,13.0,kišwar,NOUN,nmod,1.0,2,3,0,1,3,4,0,0,0.3333333333333333,case nmod conj conj,DD-K35.conllu
17.0,ēkīh,NOUN,conj,Sing,1,0,0.0,20.0,dudīgarīh,NOUN,nmod,3.0,1,4,0,1,2,2,2,1,0.40476190476190477,cc nmod,DD-K35.conllu
27.0,sāmān,NOUN,acl:relcl,Sing,11,120,10.909080991744553,26.0,ham,DET,det,1.0,2,8,0,1,1,2,0,0,0.6428571428571429,nsubj det,DD-K35.conllu
45.0,stāyišn,NOUN,obl,Sing,21,15,0.7142853741498219,43.0,ēd,DET,det,2.0,2,10,1,0,1,3,0,0,1.0714285714285714,case det det,DD-K35.conllu
45.0,stāyišn,NOUN,obl,Sing,21,104,4.952378594105432,44.0,ōwōn,DET,det,1.0,2,10,1,0,1,3,0,0,1.0714285714285714,case det det,DD-K35.conllu
4.0,zamānag,NOUN,obl,Sing,16,224,13.999991250005468,3.0,ēn,DET,det,1.0,2,0,0,9,2,3,0,0,0.08163265306122448,case det conj,DD-K35.conllu
18.0,wurrōyišnīh,NOUN,obl,Sing,2,58,28.999855000724995,15.0,ōy,PRON,det,3.0,2,3,3,6,2,3,0,0,0.3673469387755102,case det amod,DD-K35.conllu
18.0,wurrōyišnīh,NOUN,obl,Sing,2,2,0.9999950000249999,17.0,dagr,ADJ,amod,1.0,2,3,3,6,2,3,1,1,0.3673469387755102,case det amod,DD-K35.conllu
29.0,stāyišn,NOUN,nsubj,Sing,21,868,41.33331365080302,28.0,ān,DET,det,1.0,2,5,5,4,3,2,0,0,0.5918367346938775,det nmod,DD-K35.conllu
29.0,stāyišn,NOUN,nsubj,Sing,21,0,0.0,31.0,sālār,NOUN,nmod,2.0,1,5,5,4,3,2,3,1,0.5918367346938775,det nmod,DD-K35.conllu
31.0,sālār,NOUN,nmod,Sing,32,0,0.0,32.0,=imān,PRON,nmod,1.0,1,6,5,4,2,3,0,0,0.6326530612244898,det nmod amod,DD-K35.conllu
31.0,sālār,NOUN,nmod,Sing,32,1,0.03124999023437805,34.0,hāzag,ADJ,amod,3.0,1,6,5,4,2,3,1,0,0.6326530612244898,det nmod amod,DD-K35.conllu
49.0,sālār,NOUN,nmod,Sing,32,9,0.2812499121094024,48.0,xwēš,PRON,det,1.0,2,7,9,0,1,3,0,0,1.0,det case det,DD-K35.conllu
9.0,pāyag,NOUN,nmod,Sing,11,9,0.8181810743808415,8.0,xwēš,DET,det,1.0,2,1,1,0,2,2,0,0,0.75,det conj,DD-K35.conllu
12.0,wimand,NOUN,acl:relcl,Sing,10,1,0.0999999000001,9.0,pāyag,NOUN,nmod,3.0,2,3,1,0,3,3,2,0,1.0,mark case nmod,DD-K35.conllu
6.0,ērīh,NOUN,nsubj,Sing,4,9,2.2499943750140625,9.0,xwēš,PRON,nmod,3.0,1,0,1,1,3,3,2,1,0.42857142857142855,cc:nc nmod conj,DD-K35.conllu
12.0,hāwandmehīh,NOUN,conj,Sing,1,1,0.9999900000999989,11.0,abarīg,ADJ,nmod,1.0,2,1,2,0,2,3,0,0,0.8571428571428571,cc nmod nmod,DD-K35.conllu
12.0,hāwandmehīh,NOUN,conj,Sing,1,19,18.99981000189998,14.0,kehān,NOUN,nmod,2.0,1,1,2,0,2,3,1,0,0.8571428571428571,cc nmod nmod,DD-K35.conllu
10.0,pursišn,NOUN,nsubj,Sing,47,868,18.468081177004002,1.0,ān,DET,det,9.0,2,0,1,0,3,3,0,0,0.43478260869565216,det acl:relcl dep,DD-K35.conllu
11.0,ēn,PRON,dislocated:res,Sing,95,229,2.4105260620498883,12.0,=iz,ADV,advmod,1.0,1,1,1,0,1,1,0,0,0.4782608695652174,advmod,DD-K35.conllu
5.0,wistāxīh,NOUN,nsubj,Sing,2,868,433.99783001084995,1.0,ān,DET,det,4.0,2,1,0,2,2,3,0,0,0.29411764705882354,det nmod nmod,DD-K35.conllu
5.0,wistāxīh,NOUN,nsubj,Sing,2,0,0.0,2.0,ašmāh,PRON,nmod,3.0,2,1,0,2,2,3,0,0,0.29411764705882354,det nmod nmod,DD-K35.conllu
5.0,wistāxīh,NOUN,nsubj,Sing,2,0,0.0,4.0,hučihrpursišnīh,NOUN,nmod,1.0,2,1,0,2,2,3,1,0,0.29411764705882354,det nmod nmod,DD-K35.conllu
11.0,kām,NOUN,nsubj,Sing,36,0,0.0,8.0,gōkānīgpassoxīh,NOUN,nmod,3.0,2,4,1,1,3,1,2,0,0.6470588235294118,nmod,DD-K35.conllu
16.0,abowandagīhāpāyišnīh,NOUN,conj,Sing,1,85,84.99915000849991,15.0,ayāb,CCONJ,cc,1.0,2,6,2,0,1,1,0,0,0.9411764705882353,cc,DD-K35.conllu
5.0,wistāxīh,NOUN,nsubj,Sing,2,224,111.99944000279999,3.0,ēn,DET,det,2.0,2,0,0,0,1,2,0,0,0.4166666666666667,det advmod,DD-K35.conllu
5.0,wistāxīh,NOUN,nsubj,Sing,2,229,114.49942750286249,4.0,=iz,ADV,advmod,1.0,2,0,0,0,1,2,0,0,0.4166666666666667,det advmod,DD-K35.conllu
2.0,pāyišn,NOUN,obl,Sing,2,0,0.0,3.0,čimpaydāgīh,NOUN,nmod,1.0,1,0,0,2,3,2,1,0,0.11764705882352941,case nmod,DD-K35.conllu
3.0,čimpaydāgīh,NOUN,nmod,Sing,1,0,0.0,6.0,dēn,NOUN,nmod,3.0,1,1,0,2,2,1,2,1,0.17647058823529413,nmod,DD-K35.conllu
9.0,nimāyišn,NOUN,obl,Sing,7,0,0.0,12.0,dānāgīh,NOUN,nmod,3.0,1,3,0,2,2,2,2,1,0.5294117647058824,case nmod,DD-K35.conllu
16.0,abarxwāyišnīh,NOUN,nmod,Sing,1,1,0.9999900000999989,17.0,abēbīm,ADJ,amod,1.0,1,7,1,1,1,1,0,0,0.9411764705882353,amod,DD-K35.conllu
3.0,nāmag,NOUN,nsubj,Sing,20,120,5.9999970000015,2.0,ham,DET,det,1.0,2,0,0,4,1,1,0,0,0.075,det,DD-K35.conllu
5.0,māh,NOUN,obl,Sing,115,0,0.0,6.0,tīr,PROPN,nmod,1.0,1,1,0,4,1,2,0,0,0.125,case nmod,DD-K35.conllu
12.0,xwāstārīh,NOUN,nsubj,Sing,1,0,0.0,15.0,šāhīgān,NOUN,nmod,3.0,1,4,0,4,4,2,2,1,0.3,nmod nmod,DD-K35.conllu
12.0,xwāstārīh,NOUN,nsubj,Sing,1,2,1.9999800001999979,17.0,sesālag,ADJ,nmod,5.0,1,4,0,4,4,2,3,0,0.3,nmod nmod,DD-K35.conllu
19.0,bahr,NOUN,conj,Sing,38,3,0.07894734764543482,21.0,sālag,ADJ,amod,2.0,1,6,1,3,2,2,1,1,0.475,cc amod,DD-K35.conllu
